species,group
Agarum clathratum,Algae
Alaria esculenta,Algae
Ascophyllum nodosum,Algae
Bonnemaisonia hamifera,Algae
Ceramium,Algae
Chondrus crispus,Algae
Clathromorphum circumscriptum,Algae
Coccotylus truncatus,Algae
Codium fragile,Algae
Colpomenia peregrina,Algae
Corallina officinalis,Algae
Cystoclonium purpureum,Algae
Dasysiphonia japonica,Algae
Desmarestia aculeata,Algae
Desmarestia viridis,Algae
Dumontia contorta,Algae
Elachista fucicola,Algae
Euthora cristata,Algae
Halosiphon tomentosus,Algae
Hildenbrandia rubra,Algae
Laminaria digitata,Algae
Leptophytum acervatum,Algae
Lithophyllum,Algae
Lithophyllum (DUPLICATED),Algae
Lithothamnion,Algae
Mastocarpus stellatus,Algae
Palmaria palmata,Algae
Phycodrys rubens,Algae
Phymatolithon lenormandii,Algae
Polyides rotunda,Algae
Polysiphonia,Algae
Porphyra,Algae
Prasiola stipitata,Algae
Ptilota serrata,Algae
Saccharina latissima,Algae
Saccorhiza dermatodea,Algae
Spermothamnion repens,Algae
Titanoderma,Algae
Ulva lactuca,Algae
Cyanobacteria,Bacteria
Arthopyrenia,Fungus
Verrucaria,Fungus
Amphipoda,Invertebrate
Anomia simplex,Invertebrate
Anurida maritima,invertebrate
Aplidium pallidum,Invertebrate
Asterias forbesi,Invertebrate
Asterias rubens,Invertebrate
Boltenia echinata,Invertebrate
Boltenia ovifera,Invertebrate
Boreochiton ruber,Invertebrate
Botrylloides violaceus,Invertebrate
Botryllus schlosseri,Invertebrate
Buccinum undatum,Invertebrate
Bugulina spicata,Invertebrate
Cancer borealis,Invertebrate
Cancer irroratus,Invertebrate
Carcinus maenus,Invertebrate
Ciona intestinalis,Invertebrate
Ciona savignyi,Invertebrate
Crepidula fornicata,Invertebrate
Crisia eburnea,Invertebrate
Crisularia turrita,Invertebrate
Cucumaria frondosa,Invertebrate
Dendrobeania murrayana,Invertebrate
Dendrodoa carnea,Invertebrate
Didemnum albidum,Invertebrate
Didemnum vexillum,Invertebrate
Diplosoma listerianum,Invertebrate
Echinarachnius parma,Invertebrate
Halichondria panicea,Invertebrate
Halisarca dujardinii,Invertebrate
Henricia sanguinolenta,Invertebrate
Hiatella arctica,Invertebrate
Homarus americanus,Invertebrate
Hymedesmia,Invertebrate
Isopoda,Invertebrate
Lacuna vincta,Invertebrate
Leucosolenia,Invertebrate
Littorina littorea,Invertebrate
Littorina obtusata,Invertebrate
Littorina saxatilis,Invertebrate
Membranipora membranacea,Invertebrate
Metridium senile,Invertebrate
Modiolus modiolus,Invertebrate
Mytilus edulis,Invertebrate
Nucella lapillus,Invertebrate
Obelia,Invertebrate
Ophiopholis aculeata,Invertebrate
Ostrea edulis,Invertebrate
Pachycerianthus borealis,Invertebrate
Patinella verrucaria,Invertebrate
Placopecten magellanicus,Invertebrate
Schizoporella unicornis,Invertebrate
Semibalanus balanoides,Invertebrate
Spirorbis,Invertebrate
Stenosemus albus,Invertebrate
Strongylocentrotus droebachiensis,Invertebrate
Tectura testudinalis,Invertebrate
Testudinalia testudinalis,Invertebrate
Thylacodes,Invertebrate
Tricellaria inopinata,Invertebrate
Urticina felina,Invertebrate
Cyclopterus lumpus,Vertebrate
Morone saxatilis,Vertebrate
Myoxocephalus octodecemspinosus,Vertebrate
Myoxocephalus scorpius,Vertebrate
Pholis gunnellus,Vertebrate
Pollachius virens,Vertebrate
Pseudopleuronectes americanus,Vertebrate
Tautoga onitis,Vertebrate
Tautogolabrus adspersus,Vertebrate
Urophycis regia,Vertebrate
