"","label","cluster"
"1","Alaria esculenta","1"
"2","Saccharina latissima","1"
"3","Ascophyllum nodosum","2"
"4","Chaetomorpha ligustica","3"
"5","Ahnfeltia plicata","2"
"6","Fucus vesiculosus","3"
"7","Fucus distichus","3"
"8","Elachista fucicola","4"
"9","Prasiola stipitata","2"
"10","Ulva lactuca","1"
"11","Ulva intestinalis","1"
"12","Leathesia marina","1"
"13","Ceramium virgatum","1"
"14","Polysiphonia","2"
"15","Bonnemaisonia hamifera","1"
"16","Corallina officinalis","1"
"17","Phymatolithon lenormandii","2"
"18","Plumaria plumosa","1"
"19","Porphyra","1"
"20","Hildenbrandia rubra","3"
"21","Clathromorphum circumscriptum","1"
"22","Cystoclonium purpureum","1"
"23","Chondrus crispus","1"
"24","Mastocarpus stellatus","2"
"25","Dumontia contorta","1"
"26","Chordaria flagelliformis","2"
"27","Pylaiella littoralis","4"
"28","Codium fragile","3"
"29","Spongomorpha aeruginosa","3"
